Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-09-2023,2442,2451.55,2432.6,2436,2442.264442,139331,13491,340283147,75066,53.88,18.95,-6
15-09-2023,2466.05,2467.1,2449.6,2460.05,2459.253781,126487,8361,311063633,48361,38.23,17.5,-6
14-09-2023,2456.35,2465,2445,2451.1,2453.368899,231443,12502,567815058,140502,60.71,20,-5.25
13-09-2023,2443.55,2462.5,2415.6,2452.75,2452.579694,142946,8009,350586457,80688,56.45,46.9,9.2
12-09-2023,2489.7,2489.7,2435.2,2437.95,2454.894408,157057,10026,385558351,85733,54.59,54.5,-51.75
11-09-2023,2455.95,2476,2452.05,2474.4,2467.971625,366596,19642,904748526,213499,58.24,23.95,18.45
08-09-2023,2436.4,2455.65,2423.4,2449.05,2440.494049,445328,20022,1086820334,177894,39.95,32.25,12.65
07-09-2023,2425.85,2438,2411.4,2431.5,2424.164804,101108,8440,245102455,37824,37.41,26.6,5.65
06-09-2023,2422.95,2436,2418,2428.1,2426.851116,175250,14201,425305658,90823,51.82,18,5.15
05-09-2023,2418.25,2433.95,2411,2423.95,2423.075873,201719,9661,488780442,138447,68.63,22.95,5.7
04-09-2023,2410.05,2423,2406,2410.15,2413.598545,243913,20307,588708062,123464,50.62,17,0.1
01-09-2023,2408,2425.7,2401.3,2413.05,2413.589718,723207,28637,1745524979,79267,10.96,24.4,5.05
31-08-2023,2420.05,2425.9,2400,2406.9,2412.472067,241991,24786,583796528,130608,53.97,25.9,-13.15
30-08-2023,2430.3,2443.25,2415.05,2418.3,2425.360523,923878,11469,2240737229,817760,88.51,28.2,-12
29-08-2023,2447,2452.15,2408.45,2420.25,2424.882728,220154,15626,533847632,98555,44.77,43.7,-26.75
28-08-2023,2474,2483.5,2432,2442.55,2464.457818,349403,27389,861088955,135197,38.69,51.5,-31.45
25-08-2023,2454,2505,2443.95,2469.95,2473.665625,1212903,43650,3000316457,242270,19.97,61.05,15.95
24-08-2023,2542,2542,2471.6,2478.65,2505.276939,302604,27085,758106823,146573,48.44,70.4,-63.35
23-08-2023,2527.95,2542.4,2518.05,2523.15,2528.678,157329,9054,397834381,33454,21.26,24.35,-4.8
22-08-2023,2518.25,2537.45,2498.55,2519,2518.056013,115990,11005,292069317,57538,49.61,38.9,0.75
21-08-2023,2531,2554.9,2513.55,2518.25,2529.417104,156076,10454,394781304,53633,34.36,41.35,-12.75
18-08-2023,2532,2577,2508.5,2556.7,2549.744478,1144311,40407,2917700653,162964,14.24,68.5,24.7
17-08-2023,2568,2577.95,2532.2,2537.75,2554.204664,139614,10379,356602730,63474,45.46,45.75,-30.25
